query_id,query,docid,passage,label,query_len,passage_len,difficulty,lexical_overlap
5325,Сколько официальных языков в Респу́блике Нау́ру?,2667#45,"Науру Науруанцы говорят на микронезийском языке — науруанском. До 1968 года Республика Науру была совместным владением Австралии, Великобритании и Новой Зеландии, поэтому английский язык, наряду с науруанским, является государственным.",1,6,29,0.44720000000000004,0.0
4770,Кто написал гимн Армении?,81975#1,"Гимн Армении Утверждён 1 июля 1991 года решением Верховного Совета Республики Армения. Фактически используются первая и четвёртая строфы гимна. Также в несколько ином варианте был гимном Республики Армении 1918—1920 годов (первой республики). За основу взято стихотворение Микаэла Налбандяна () «Песня итальянской девушки» (1859), автор музыки — Барсег Каначян ().",1,4,49,0.44720000000000004,0.02
2846,Можно ли потделать электро́нную цифровую по́дпись?,22842#29,"Электронная подпись На основе асимметричных схем созданы модификации цифровой подписи, отвечающие различным требованиям:
Анализ возможностей подделки подписей — задача криптоанализа. Попытку сфальсифицировать подпись или подписанный документ криптоаналитики называют «атака».",1,6,29,0.44720000000000004,0.0
6434,Что означает слово этнос?,21087#0,"Этнос Э́тнос ( — народ) — в некоторых теориях этничности, исторически сложившаяся устойчивая совокупность людей, объединённых общими объективными либо субъективными признаками, в которые различные авторы включают происхождение, единый язык, культуру, хозяйство, территорию проживания, самосознание, внешний вид, менталитет и другое.",1,4,39,0.44720000000000004,0.0
4113,Кто написал гимн России?,3693#10,"Государственные символы России Государственный гимн Российской Федерации представляет собой песню, музыку которой написал композитор А. В. Александров, а слова — поэт С. В. Михалков. 
Гимн имеет три куплета, после которых трижды исполняется припев. Гимн может звучать со словами или без слов — оба исполнения являются равноценными. При исполнении гимна без слов обыкновенно звучат только первый куплет и припев.",1,4,58,0.4473056603773585,0.03773584905660377
1060,Пресса влияет на Общественное мнение?,25465#5,"Общественное мнение Первые попытки специального его исследования были предприняты в конце XVIII — начале XIX вв. английским философом Иеремией Бентамом, который подчеркивал значимость общественного мнения как способа социального контроля над деятельностью государства со стороны общественности и указывал на роль прессы как основного средства, с помощью которого можно одновременно выражать и формировать общественное мнение.",1,5,53,0.4473056603773585,0.03773584905660377
4528,Учился Александр Пушкин в Царском Селе?,41097#0,"Императорский Царскосельский лицей Импера́торский Царскосе́льский лице́й (с 1843 по 1917 годы — ""Алекса́ндровский лицей"") — привилегированное высшее учебное заведение для детей дворян в Российской империи, действовавшее в Царском Селе с 1811 по 1843 год. В русской истории известно, в первую очередь, как школа, воспитавшая А. С. Пушкина и воспетая им.",1,6,50,0.44733333333333336,0.041666666666666664
327,Как называется Константинополь в 21 веке?,23027#0,"Константинополь Константино́поль (, ""Константину́полис"", или  — «Город», [kostantîniyye], , ) — название Стамбула до 28 марта 1930 года, неофициальное название (официальное — Новый Рим) столицы Римской империи (330—395), Византийской, или Восточно-Римской империи (395—1204 и 1261—1453), Латинской империи (1204—1261) и Османской империи (1453—1922).",1,6,42,0.44734358974358973,0.02564102564102564
156,Входила ли Албания в состав Югославии?,32259#4,"Югославия После распада Австро-Венгрии в 1918 году югославянские земли Хорватии, Словении, Боснии и Герцеговины, Далмации, Сербии и Черногории объединились в государство, получившее название Королевство Сербов, Хорватов и Словенцев (КСХС). В 1929 году, после государственного переворота, оно было переименовано в Королевство Югославия (КЮ).",1,6,42,0.44734358974358973,0.02564102564102564
3298,Сколько учеников было у Иисуса Христа?,4756#73,"Иисус Христос Вокруг Христа собралось много последователей, из которых Он избрал сначала 12 ближайших учеников — апостолов (-16), затем других 70 (-17) уже менее приближённых, которых также называют апостолами, некоторые из них, впрочем, уже вскоре отошли от Христа (). Апостол Павел сообщает, что на момент крестной смерти и воскресения Христа у Него было более 500 последователей ().",1,6,57,0.44737777777777776,0.05555555555555555
