query_id,query,docid,passage,label,query_len,passage_len,difficulty,lexical_overlap
164,Богом чего был Посейдон у древних греков?,8599#11,"Посейдон Посейдон считался покровителем коневодства и имел прозвище Гиппий (Конный). Как отмечает Б. Редис, почитавшиеся вместе с ним его кони первоначально были хтоническими, а не морскими. Именно он, по преданию, создал коня и научил управлять им. В его честь устраивали Истмийские игры с конными ристалищами.
Кроме коня, священными животными Посейдона были дельфин и бык — в частности чёрный, а священным деревом — сосна.",1,7,63,0.47173333333333334,0.016666666666666666
6046,Что подписала Изабе́лла Бава́рская в 1420 году?,58160#1,"Изабелла Баварская После того как Карл VI стал страдать от приступов безумия и власть фактически перешла к королеве, она оказалась неспособной проводить твёрдую политическую линию и металась от одной придворной группировки к другой. Изабелла была крайне непопулярна в народе, особенно из-за своей расточительности. В 1420 году она подписала в Труа договор с англичанами, признав наследником французской короны английского короля Генриха V. В художественной литературе имеет стойкую репутацию распутницы, хотя современные исследователи считают, что во многом такая репутация могла быть результатом пропаганды.",1,7,81,0.4717473684210527,0.05263157894736842
5619,При каком князе на Руси приняли православие?,11318#0,"Крещение Руси Креще́ние Руси́ — термин, под которым в современной исторической науке подразумевается введение в Киевской Руси христианства как государственной религии, осуществлённое в конце X века князем Владимиром Святославичем. Источники дают противоречивые указания на точное время принятия новой религии. Традиционно, вслед за летописной хронологией, событие принято относить к 988 году и считать началом официальной истории Русской Церкви (некоторые исследователи полагают, что «крещение» состоялось позже: в 990 или 991 году).",1,7,69,0.47177142857142856,0.02857142857142857
2752,Поль Адриен Морис Дира́к был основоположником квантовой теории поля?,22566#1,"Дирак, Поль Адриен Морис Работы Дирака посвящены квантовой физике, теории элементарных частиц, общей теории относительности. Он является автором основополагающих трудов по квантовой механике (общая теория преобразований), квантовой электродинамике (метод вторичного квантования и многовременной формализм) и квантовой теории поля (квантование систем со связями). Предложенное им релятивистское уравнение электрона позволило естественным образом объяснить спин и ввести представление об античастицах. К другим известным результатам Дирака относятся статистическое распределение для фермионов, концепция магнитного монополя, гипотеза больших чисел, гамильтонова формулировка теории гравитации и др.",1,9,79,0.47180273972602743,0.0684931506849315
4952,Сколько лет Ходорковский был главой нефтяной компании «ЮКОС»?,11901#1,"Ходорковский, Михаил Борисович В 1997—2004 гг. был совладельцем и главой нефтяной компании «ЮКОС». Арестован российскими властями по обвинению в хищениях и неуплате налогов 25 октября 2003 года. На момент ареста был одним из богатейших людей в мире, его состояние оценивалось в 15 млрд долларов. В 2005 году был признан российским судом виновным в мошенничестве и других преступлениях. Компания «ЮКОС» подверглась процедуре банкротства. В 2010—2011 годах был приговорён по новым обстоятельствам; с учётом последующих обжалований общий срок, назначенный судом, составил 10 лет и 10 месяцев.",1,8,84,0.47180273972602743,0.0684931506849315
45,Как звали мать Персефоны?,8600#10,"Аид Мать Персефоны Деметра, богиня плодородия земли, в горестных поисках дочери забыла о своих обязанностях, и землю охватил голод. Зевс приказал возвратить Персефону матери. Однако Аид заставил её проглотить несколько зёрен граната, и дочь Деметры уже не могла окончательно покинуть подземное царство; она только часть года проводит с матерью на земле, а остальное время царствует в подземном мире. Зевс решил, что Персефона две трети года будет проводить на земле с матерью и одну треть — с Аидом.",1,4,77,0.47188571428571435,0.014285714285714285
1604,Какой срок президентского правления в России?,5221#33,"Президент Российской Федерации Первый президент России был избран в 1991 году сроком на 5 лет. В Конституции РФ 1993 года срок полномочий президента был сокращён до 4 лет. Однако согласно п.3 Заключительных и переходных положений Конституции президент Ельцин осуществлял полномочия полный срок, на который он был избран (то есть до 1996 года). В соответствии с изменением Конституции, вступившим в силу 31 декабря 2008 года, начиная с выборов 2012 года, президент Российской Федерации избирается на шестилетний срок.",1,6,76,0.4718967741935484,0.03225806451612903
4153,На сколько лет выбирают президента России?,5221#33,"Президент Российской Федерации Первый президент России был избран в 1991 году сроком на 5 лет. В Конституции РФ 1993 года срок полномочий президента был сокращён до 4 лет. Однако согласно п.3 Заключительных и переходных положений Конституции президент Ельцин осуществлял полномочия полный срок, на который он был избран (то есть до 1996 года). В соответствии с изменением Конституции, вступившим в силу 31 декабря 2008 года, начиная с выборов 2012 года, президент Российской Федерации избирается на шестилетний срок.",1,6,76,0.4718967741935484,0.03225806451612903
6712,Сколько островов в составе Греции в 2019 году?,60#32,"Греция Греция расположена в южной части Балканского полуострова и на прилегающих к нему и к побережью Малой Азии островах и занимает площадь 132 тыс. км², в том числе площадь островов 25,1 тыс. км². Граничит с Албанией, Республикой Македонией, Болгарией и Турцией. Омывается Средиземным морем, в том числе: Ионическим, Эгейским морями, а южное побережье Крита — Ливийским морем. В состав Греции входит около 2 тысяч островов, на которые приходится почти 20 % всей страны.",1,8,73,0.47193846153846153,0.046153846153846156
4649,С какого класса в русских школах начинают изучать биологию?,31415#4,"Учебные предметы в России В рамках истории с 5 класса изучают Мировую историю и историю России (в том числе историю СССР). В 5 классе начинается и география (иногда под названием природоведение).Обучение естественнонаучным дисциплинам начинается с 1-го класса, (Окружающий мир или Мир вокруг нас), в 5 классе этот учебный предмет имеет название «Природоведение», по ФК ГОС предусмотрена возможность изучения предмета ""Природоведение"" в 6 классе за счёт объединения предметов ""Биология"" и ""География"".",1,9,70,0.472,0.05
5206,Какое имя носил при рождении Сталин?,3010#0,"Сталин, Иосиф Виссарионович Ио́сиф Виссарио́нович Ста́лин (настоящая фамилия — Джугашви́ли, ; (по официальной версии ), Гори, Тифлисская губерния, Российская империя — , Волынское, Кунцевский район, Московская область, РСФСР, СССР) — российский революционер, советский политический, государственный, военный и партийный деятель. С 21 января 1924 по 5 марта 1953 года — руководитель Советского государства. Генералиссимус Советского Союза (1945). Маршал Советского Союза (1943).",1,6,60,0.47200000000000003,0.0
5544,Какое было настоящее имя у Сталина?,3010#0,"Сталин, Иосиф Виссарионович Ио́сиф Виссарио́нович Ста́лин (настоящая фамилия — Джугашви́ли, ; (по официальной версии ), Гори, Тифлисская губерния, Российская империя — , Волынское, Кунцевский район, Московская область, РСФСР, СССР) — российский революционер, советский политический, государственный, военный и партийный деятель. С 21 января 1924 по 5 марта 1953 года — руководитель Советского государства. Генералиссимус Советского Союза (1945). Маршал Советского Союза (1943).",1,6,60,0.47200000000000003,0.0
2347,Как звали мать Джона Толкина?,9773#6,"Толкин, Джон Рональд Руэл Джон Рональд Руэл Толкин родился 3 января 1892 года в Блумфонтейне, Оранжевое Свободное государство (теперь Фри-Стейт, ЮАР). Его родители, Артур Руэл Толкин (1857—1895), управляющий английского банка, и Мейбл Толкин (урождённая Саффилд) (1870—1904), прибыли в Южную Африку незадолго до рождения сына в связи с продвижением Артура по службе. 17 февраля 1894 года у Артура и Мейбл родился второй сын, Хилари Артур Руэл.",1,5,65,0.47200000000000003,0.0
